output,input1,input2,input3
564,534,536,466
182,264,103,244
323,272,339,609
438,416,444,330
547,520,464,104
291,81,415,705
436,380,386,408
656,549,596,387
349,431,364,672
540,574,611,182
373,313,350,398
252,281,266,461
419,323,377,487
238,55,350,511
387,397,454,779
522,463,424,289
531,574,638,702
391,337,261,236
374,433,412,367
284,332,294,574
598,497,523,420
416,509,515,604
330,351,406,152
232,281,307,274
598,563,492,565
418,452,465,569
490,486,459,204
544,429,502,106
404,386,395,749
532,509,486,305
553,514,455,412
598,594,645,407
496,362,439,752
562,585,551,520
617,389,948,229
489,543,619,424
625,592,557,407
358,449,442,371
585,514,529,557
410,420,478,359
296,303,346,692
361,430,442,188
405,323,362,368
402,478,511,156
573,551,628,486
329,407,359,667
339,387,414,119
587,409,838,311
471,480,535,702
329,271,217,792
449,477,407,305
615,535,561,630
334,321,342,350
367,376,400,727
631,525,592,482
376,395,459,738
349,448,411,594
173,271,265,410
533,458,461,502
190,306,243,575
414,402,438,217
360,343,329,498
536,516,594,385
578,467,545,149
482,515,563,519
652,571,639,510
364,339,314,235
457,538,490,552
388,502,453,596
503,525,535,659
418,402,359,712
484,485,464,227
516,579,500,303
490,527,521,319
312,351,368,440
411,410,352,178
295,275,309,591
625,580,500,669
215,291,211,476
387,479,470,328
325,290,290,595
523,550,488,624
421,453,448,424
460,489,540,596
448,407,350,101
305,381,350,284
285,417,350,200
307,315,298,305
456,536,529,186
506,761,371,536
446,533,557,454
562,506,495,731
484,599,554,613
300,342,319,301
539,827,309,636
150,259,181,336
372,299,271,338
414,523,455,526
729,683,641,601
903,840,858,276
